                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.8448,                 1.6041,                 1.1844,                0.37611,                0.43033,                0.26803,                0.14874,                 1.5794,                  1.451,                 1.2048,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.8857,                 1.6192,                 1.2181,                0.41197,                0.45456,                0.31506,                0.17783,                 1.5843,                 1.4039,                 1.1954,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.8541,                 1.6038,                 1.2021,                0.40028,                0.43101,                0.27627,                0.15623,                 1.5671,                 1.4532,                 1.2047,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.8362,                 1.5889,                 1.1907,                0.39837,                0.46305,                0.28585,                0.16065,                 1.5152,                 1.3954,                 1.1803,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.8484,                 1.5958,                 1.1876,                0.43013,                0.45123,                0.39234,                0.23237,                 1.5505,                 1.3147,                 1.1943,               0.000416,               0.000416,               0.000416
                     82,                 1.8212,                 1.5631,                 1.1807,                0.39185,                0.45378,                 0.3089,                0.18057,                 1.5352,                 1.4133,                 1.1863,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.7766,                 1.5653,                 1.1876,                0.41262,                0.46183,                0.32663,                0.19041,                 1.5099,                 1.3581,                 1.1743,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.7994,                 1.5669,                 1.1772,                0.38642,                0.45751,                0.28784,                0.16205,                 1.5506,                 1.4192,                 1.1903,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.7887,                  1.554,                 1.1822,                0.42677,                0.46065,                0.34295,                0.20074,                 1.5075,                 1.3507,                 1.1789,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.7913,                 1.5674,                 1.1831,                0.38557,                0.47458,                0.29623,                0.17268,                 1.5157,                  1.396,                 1.1702,               0.000317,               0.000317,               0.000317
                     87,                 1.8219,                 1.5755,                 1.1801,                0.39803,                0.44868,                0.31531,                0.18489,                 1.5146,                 1.3729,                 1.1732,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.7807,                 1.5457,                 1.1716,                 0.4273,                0.45733,                 0.3804,                0.23063,                 1.5012,                 1.3322,                  1.172,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.774,                 1.5453,                 1.1763,                 0.3985,                 0.4685,                0.30622,                0.17704,                 1.5085,                  1.389,                 1.1696,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.7732,                 1.5482,                 1.1776,                0.39669,                0.46634,                0.29192,                0.16478,                 1.4885,                 1.3823,                 1.1623,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.7238,                  1.516,                 1.1839,                0.40897,                0.45415,                 0.3081,                0.17918,                  1.492,                 1.3516,                 1.1588,               0.000218,               0.000218,               0.000218
                     92,                 1.6949,                   1.51,                   1.18,                0.42036,                0.46259,                 0.3613,                0.21631,                 1.4817,                 1.3363,                 1.1558,              0.0001982,              0.0001982,              0.0001982
                     93,                  1.689,                 1.5068,                 1.1867,                0.40571,                0.44298,                 0.3157,                0.18732,                 1.4911,                 1.3838,                 1.1605,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.6754,                 1.4867,                 1.1675,                0.39402,                0.45908,                0.28109,                0.15796,                 1.4905,                 1.4132,                 1.1578,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.6845,                 1.4854,                 1.1713,                 0.4056,                 0.4736,                0.29938,                0.17055,                  1.489,                 1.3603,                 1.1589,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.6681,                 1.4834,                 1.1678,                0.41061,                0.46006,                0.31219,                0.18148,                 1.4812,                 1.3674,                 1.1529,               0.000119,               0.000119,               0.000119
                     97,                 1.6685,                 1.4797,                 1.1671,                0.42163,                0.46281,                0.34803,                0.20488,                 1.4825,                 1.3373,                 1.1562,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  1.652,                 1.4842,                 1.1598,                0.41519,                0.46024,                 0.3253,                0.19099,                 1.4732,                 1.3577,                 1.1537,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.6577,                 1.4792,                  1.161,                0.41315,                0.46693,                0.32839,                 0.1908,                 1.4789,                 1.3496,                 1.1529,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.6371,                  1.454,                 1.1561,                0.40774,                0.46909,                0.31043,                0.17931,                 1.4738,                 1.3637,                 1.1533,               3.98e-05,               3.98e-05,               3.98e-05
